Datetime,Adj Close,Lower Bound,Upper Bound
2024-01-10T02:35:00Z,46059.16042394039,45835.160878692106,46283.15996918867
2024-01-10T02:40:00Z,46054.79027725781,45830.79073200953,46278.78982250609
2024-01-10T02:45:00Z,46053.09558882181,45829.096043573525,46277.09513407009
2024-01-10T02:50:00Z,46053.478410953154,45829.47886570488,46277.47795620144
2024-01-10T02:55:00Z,46055.47443342616,45831.47488817788,46279.47397867445
2024-01-10T03:00:00Z,46056.968011966106,45832.96846671782,46280.96755721439
2024-01-10T03:05:00Z,46061.18939381709,45837.18984856881,46285.188939065374
2024-01-10T03:10:00Z,46067.921187038315,45843.92164179003,46291.9207322866
2024-01-10T03:15:00Z,46073.48437660148,45849.4848313532,46297.483921849765
2024-01-10T03:20:00Z,46079.50298776418,45855.503442515896,46303.502533012455
2024-01-10T03:25:00Z,46085.875236733336,45861.87569148505,46309.87478198162
2024-01-10T03:30:00Z,46092.52208773783,45868.52254248955,46316.521632986114
