Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-09 21:30:00+00:00,45950.06640625,45987.91796875,45717.125,45717.125,45717.125,0
2024-01-09 21:35:00+00:00,45898.92578125,46157.08984375,45898.92578125,46104.84765625,46104.84765625,651517952
2024-01-09 21:40:00+00:00,46211.1328125,46280.6328125,46094.3515625,46094.3515625,46094.3515625,531476480
2024-01-09 21:45:00+00:00,46100.6875,46100.6875,45807.0546875,45883.8359375,45883.8359375,196198400
2024-01-09 21:50:00+00:00,45903.91015625,45903.91015625,45547.92578125,45547.92578125,45547.92578125,292978688
2024-01-09 21:55:00+00:00,45644.390625,45644.390625,45455.74609375,45528.08203125,45528.08203125,298332160
2024-01-09 22:00:00+00:00,45430.2109375,45570.265625,45337.5859375,45337.5859375,45337.5859375,238436352
2024-01-09 22:05:00+00:00,45466.4140625,45777.98046875,45466.4140625,45777.98046875,45777.98046875,191172608
2024-01-09 22:10:00+00:00,45691.57421875,45691.57421875,45644.37109375,45661.5625,45661.5625,292761600
2024-01-09 22:15:00+00:00,45573.34765625,45730.7421875,45573.34765625,45675.9140625,45675.9140625,142974976
2024-01-09 22:20:00+00:00,45764.58984375,45773.84765625,45682.67578125,45698.4765625,45698.4765625,195096576
2024-01-09 22:25:00+00:00,45655.76953125,45855.1640625,45655.76953125,45855.1640625,45855.1640625,167927808
2024-01-09 22:30:00+00:00,45833.17578125,45937.0078125,45833.17578125,45937.0078125,45937.0078125,128880640
2024-01-09 22:35:00+00:00,45933.39453125,46003.27734375,45933.39453125,46003.27734375,46003.27734375,162770944
2024-01-09 22:40:00+00:00,45926.23828125,46040.46484375,45926.23828125,46040.46484375,46040.46484375,153993216
2024-01-09 22:45:00+00:00,46032.796875,46032.796875,45896.17578125,46025.9921875,46025.9921875,24285184
2024-01-09 22:50:00+00:00,46027.41015625,46027.41015625,45871.74609375,45871.74609375,45871.74609375,66220032
2024-01-09 22:55:00+00:00,46023.87109375,46238.9140625,46023.87109375,46238.9140625,46238.9140625,193744896
2024-01-09 23:00:00+00:00,46267.0625,46267.0625,46208.68359375,46234.1171875,46234.1171875,60645376
2024-01-09 23:05:00+00:00,46193.66015625,46193.66015625,46068.22265625,46084.0625,46084.0625,66654208
2024-01-09 23:10:00+00:00,46135.7265625,46135.7265625,46093.33984375,46093.33984375,46093.33984375,51142656
2024-01-09 23:15:00+00:00,46086.8359375,46087.859375,45984.26171875,46027.81640625,46027.81640625,26632192
2024-01-09 23:20:00+00:00,46039.578125,46077.3125,46024.8984375,46077.3125,46077.3125,45809664
2024-01-09 23:25:00+00:00,46074.38671875,46132.625,46074.38671875,46132.625,46132.625,74829824
2024-01-09 23:30:00+00:00,46168.07421875,46168.07421875,46142.1015625,46142.1015625,46142.1015625,0
2024-01-09 23:35:00+00:00,46106.296875,46106.296875,46023.38671875,46023.38671875,46023.38671875,0
2024-01-09 23:40:00+00:00,46011.3984375,46053.78515625,46011.3984375,46053.78515625,46053.78515625,10575872
2024-01-09 23:45:00+00:00,46055.17578125,46055.17578125,46034.01171875,46034.01171875,46034.01171875,13697024
2024-01-09 23:50:00+00:00,46034.14453125,46093.02734375,46034.14453125,46093.02734375,46093.02734375,45551616
2024-01-09 23:55:00+00:00,46089.87109375,46112.94140625,46088.41796875,46112.94140625,46112.94140625,29241344
2024-01-10 00:00:00+00:00,46121.5390625,46121.5390625,46052.1796875,46067.0859375,46067.0859375,0
2024-01-10 00:05:00+00:00,46077.18359375,46137.1640625,46071.140625,46109.68359375,46109.68359375,0
2024-01-10 00:10:00+00:00,46175.80859375,46179.3359375,46174.48046875,46174.48046875,46174.48046875,67284992
2024-01-10 00:15:00+00:00,46192.81640625,46223.12109375,46192.81640625,46223.12109375,46223.12109375,9342976
2024-01-10 00:20:00+00:00,46193.296875,46193.296875,46035.9140625,46035.9140625,46035.9140625,0
2024-01-10 00:25:00+00:00,46130.8125,46130.8125,46012.9375,46012.9375,46012.9375,31612928
2024-01-10 00:30:00+00:00,45997.203125,45997.203125,45895.61328125,45915.46875,45915.46875,0
2024-01-10 00:35:00+00:00,45932.26953125,45955.53125,45932.26953125,45939.5,45939.5,0
2024-01-10 00:40:00+00:00,45874.93359375,45902.46484375,45874.93359375,45902.46484375,45902.46484375,0
2024-01-10 00:45:00+00:00,45919.8828125,45947.41015625,45919.8828125,45930.14453125,45930.14453125,0
2024-01-10 00:50:00+00:00,45838.19921875,45845.7421875,45819.69140625,45834.65625,45834.65625,0
2024-01-10 00:55:00+00:00,46016.83203125,46016.83203125,45923.2109375,45923.2109375,45923.2109375,123047936
2024-01-10 01:00:00+00:00,45849.46484375,45849.46484375,45755.01171875,45755.01171875,45755.01171875,3203072
2024-01-10 01:05:00+00:00,45768.05078125,45783.10546875,45768.05078125,45769.83203125,45769.83203125,2932736
2024-01-10 01:10:00+00:00,45724.03125,45741.09375,45718.59375,45718.59375,45718.59375,11350016
2024-01-10 01:15:00+00:00,45733.625,45733.625,45641.05859375,45660.59375,45660.59375,1433600
2024-01-10 01:20:00+00:00,45663.7265625,45776.2890625,45663.7265625,45738.71484375,45738.71484375,28680192
2024-01-10 01:25:00+00:00,45712.71875,45715.41796875,45682.421875,45685.140625,45685.140625,0
2024-01-10 01:30:00+00:00,45681.95703125,45708.1640625,45663.609375,45663.609375,45663.609375,688128
2024-01-10 01:35:00+00:00,45652.81640625,45718.6875,45652.81640625,45706.91015625,45706.91015625,15355904
2024-01-10 01:40:00+00:00,45676.83203125,45768.72265625,45676.83203125,45768.72265625,45768.72265625,23265280
2024-01-10 01:45:00+00:00,45804.17578125,45846.12890625,45804.17578125,45844.57421875,45844.57421875,2424832
2024-01-10 01:50:00+00:00,45833.203125,45936.95703125,45833.203125,45921.39453125,45921.39453125,20922368
2024-01-10 01:55:00+00:00,45916.4375,45929.6953125,45897.703125,45918.37109375,45918.37109375,13897728
2024-01-10 02:00:00+00:00,45932.78515625,45933.3984375,45920.1640625,45933.3984375,45933.3984375,520192
2024-01-10 02:05:00+00:00,45922.87109375,45922.87109375,45907.65234375,45915.58203125,45915.58203125,3334144
2024-01-10 02:10:00+00:00,45910.72265625,45990.5,45910.72265625,45990.5,45990.5,0
2024-01-10 02:15:00+00:00,45972.8515625,46017.71484375,45965.87890625,46017.71484375,46017.71484375,9498624
2024-01-10 02:20:00+00:00,46017.8515625,46035.45703125,46017.8515625,46020.37109375,46020.37109375,41938944
2024-01-10 02:25:00+00:00,46060.5703125,46060.5703125,46047.7265625,46047.7265625,46047.7265625,9080832
2024-01-10 02:30:00+00:00,46076.859375,46076.859375,46057.3203125,46057.3203125,46057.3203125,0
